feature,importance,importance_pct
f_115,0.030577121,0.030577121
f_48,0.021958735,0.021958735
f_119,0.012396018,0.012396018
f_50,0.011926074,0.011926074
f_142,0.011530866,0.011530866
f_56,0.01023798,0.01023798
f_143,0.010143865,0.010143865
f_49,0.008563094,0.008563094
f_47,0.008297243,0.008297243
f_46,0.008048039,0.008048039
f_286,0.0077861827,0.0077861827
f_51,0.007718066,0.007718066
f_262,0.007559282,0.007559282
f_52,0.0072334968,0.0072334968
f_79,0.0069193807,0.0069193807
f_74,0.0067605106,0.0067605106
f_235,0.0066538192,0.0066538192
f_111,0.006510532,0.006510532
f_54,0.006304772,0.006304772
f_243,0.006032002,0.006032002
f_141,0.0059863534,0.0059863534
f_144,0.0058188424,0.0058188424
f_282,0.0058038784,0.0058038784
f_21,0.005712574,0.005712574
f_217,0.0056791552,0.0056791552
f_252,0.005583456,0.005583456
f_177,0.0055827103,0.0055827103
f_237,0.0055115023,0.0055115023
f_117,0.0054934807,0.0054934807
f_27,0.0054288735,0.0054288735
f_156,0.0053236578,0.0053236578
f_26,0.0053086984,0.0053086984
f_239,0.005307668,0.005307668
f_195,0.0052747442,0.0052747442
f_58,0.00525468,0.00525468
f_208,0.0052170586,0.0052170586
f_258,0.0051588016,0.0051588016
f_259,0.0051261242,0.0051261242
f_53,0.0051212227,0.0051212227
f_289,0.0050590364,0.0050590364
f_172,0.0050563854,0.0050563854
f_125,0.005052365,0.005052365
f_296,0.005010579,0.005010579
f_11,0.005009569,0.005009569
f_233,0.005006435,0.005006435
f_266,0.0050014765,0.0050014765
f_146,0.0049311016,0.0049311016
f_20,0.004914795,0.004914795
f_92,0.0048922077,0.0048922077
f_100,0.0048766388,0.0048766388
f_299,0.0048682224,0.0048682224
f_150,0.0048398674,0.0048398674
f_129,0.004791294,0.004791294
f_226,0.0047710063,0.0047710063
f_179,0.004761288,0.004761288
f_9,0.004751049,0.004751049
f_30,0.004734867,0.004734867
f_294,0.004622883,0.004622883
f_228,0.0046219276,0.0046219276
f_59,0.0045914017,0.0045914017
f_73,0.0045661386,0.0045661386
f_81,0.004556548,0.004556548
f_57,0.004502907,0.004502907
f_2,0.004501097,0.004501097
f_213,0.004448522,0.004448522
f_70,0.004446531,0.004446531
f_62,0.0044317567,0.0044317567
f_201,0.004416024,0.004416024
f_270,0.0044144695,0.0044144695
f_216,0.004373868,0.004373868
f_110,0.00437291,0.00437291
f_85,0.004369561,0.004369561
f_274,0.00434085,0.00434085
f_4,0.004323275,0.004323275
f_61,0.0043111346,0.0043111346
f_108,0.0043104566,0.0043104566
f_230,0.004308689,0.004308689
f_17,0.0042842194,0.0042842194
f_205,0.004278286,0.004278286
f_163,0.0042668,0.0042668
f_178,0.004218407,0.004218407
f_29,0.0042008576,0.0042008576
f_137,0.0041942946,0.0041942946
f_63,0.0041895104,0.0041895104
f_75,0.0041879592,0.0041879592
f_36,0.004186366,0.004186366
f_16,0.0041805967,0.0041805967
f_67,0.0041648974,0.0041648974
f_148,0.004135903,0.004135903
f_14,0.004130305,0.004130305
f_173,0.0041018254,0.0041018254
f_19,0.0040881583,0.0040881583
f_71,0.004087333,0.004087333
f_232,0.00405998,0.00405998
f_15,0.004034711,0.004034711
f_105,0.0040323944,0.0040323944
